Iteration	Posterior	Likelihood	Prior	alpha_morpho	clock_morpho	event_rate	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction_mean	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]	F[9]	F[10]	F[11]	F[12]	F[13]	F[14]	F[15]	F[16]	F[17]	F[18]	F[19]	F[20]	F[21]	F[22]	F[23]	F[24]	F[25]	F[26]	F[27]	F[28]	F[29]	F[30]	F[31]	F[32]	F[33]	F[34]	F[35]	F[36]	F[37]	F[38]	F[39]	F[40]	F[41]	F[42]	F[43]	F[44]	F[45]	F[46]	F[47]	F[48]	F[49]	F[50]	F[51]	F[52]	F[53]	F[54]	F[55]	F[56]	F[57]	F[58]	F[59]	F[60]	F[61]	F[62]	F[63]	F[64]	F[65]	F[66]	F[67]	F[68]	F[69]	F[70]	F[71]	F[72]	F[73]	F[74]	F[75]	F[76]	F[77]	F[78]	F[79]	F[80]	F[81]	F[82]	F[83]	F[84]	F[85]	F[86]	F[87]	F[88]	F[89]	F[90]	F[91]	F[92]	F[93]	F[94]	F[95]	F[96]	F[97]	F[98]	F[99]	F[100]	F[101]	F[102]	F[103]	F[104]	F[105]	F[106]	F[107]	F[108]	F[109]	F[110]	F[111]	F[112]	F[113]	F[114]	F[115]	F[116]	F[117]	F[118]	F[119]	F[120]	F[121]	F[122]	F[123]	F[124]	F[125]	F[126]	F[127]	F[128]	F[129]	F[130]	F[131]	F[132]	F[133]	F[134]	F[135]	F[136]	F[137]	F[138]	F[139]	F[140]	F[141]	F[142]	fossilization[1]	fossilization[2]	fossilization[3]	fossilization[4]	fossilization[5]	fossilization[6]	fossilization[7]	fossilization[8]	fossilization[9]	fossilization_mean	num_samp_anc	origin_time	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation_mean	speciation_sd	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	t[14]	t[15]	t[16]	t[17]	t[18]	t[19]	t[20]	t[21]	t[22]	t[23]	t[24]	t[25]	t[26]	t[27]	t[28]	t[29]	t[30]	t[31]	t[32]	t[33]	t[34]	t[35]	t[36]	t[37]	t[38]	t[39]	t[40]	t[41]	t[42]	t[43]	t[44]	t[45]	t[46]	t[47]	t[48]	t[49]	t[50]	t[51]	t[52]	t[53]	t[54]	t[55]	t[56]	t[57]	t[58]	t[59]	t[60]	t[61]	t[62]	t[63]	t[64]	t[65]	t[66]	t[67]	t[68]	t[69]	t[70]	t[71]	t[72]	t[73]	t[74]	t[75]	t[76]	t[77]	t[78]	t[79]	t[80]	t[81]	t[82]	t[83]	t[84]	t[85]	t[86]	t[87]	t[88]	t[89]	t[90]	t[91]	t[92]	t[93]	t[94]	t[95]	t[96]	t[97]	t[98]	t[99]	t[100]	t[101]	t[102]	t[103]	t[104]	t[105]	t[106]	t[107]	t[108]	t[109]	t[110]	t[111]	t[112]	t[113]	t[114]	t[115]	t[116]	t[117]	t[118]	t[119]	t[120]	t[121]	t[122]	t[123]	t[124]	t[125]	t[126]	t[127]	t[128]	t[129]	t[130]	t[131]	t[132]	t[133]	t[134]	t[135]	t[136]	t[137]	t[138]	t[139]	t[140]	t[141]	t[142]
100	-1481.957	-1476.674	-5.282692	1.280521	0.01394613	0.6596643	0.395548	0.395548	0.395548	0.395548	0.395548	0.395548	0.395548	0.395548	0.395548	0.3955482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0594448	0.0594448	0.0594448	0.0594448	0.0594448	0.0594448	0.0594448	0.0594448	0.0594448	0.05944479	52	146.132	0.189343	0.54742	1.03443	2.2288	0.0199118	0.0426092	0.0674611	0.0980083	0.138121	0.194652	0.282793	0.447732	0.958104	0.1381214	1.215667	93.5	93.5	97.4959	59.4019	47.8	42.9907	36.9181	36.9181	33.9	33.9	23.03	23.03	24.6752	26.0759	25.4718	26.7435	23.03	23.03	20.44	15.0552	17.3227	14.259	19.151	19.1512	15.228	13.82	13.82	13.82	14.6367	16.7636	15.97	13.82	15.97	13.82	13.82	16.135	17.1586	13.82	15.97	15.7633	13.82	17.7626	14.0443	14.3939	17.8658	15.3069	13.82	18.5969	15.2294	17.3748	18.2563	15.2294	17.8658	15.97	13.82	17.3786	13.82	13.82	15.3918	16.0043	13.82	15.97	13.82	13.82	15.0324	13.8805	13.65	13.65	13.65	14.704	13.82	10.394	14.704	14.0158	12.3433	11.147	5.333	2.588	12.3433	11.608	11.608	7.49899	11.147	11.608	11.608	11.608	12.1737	11.608	11.608	14.7872	15.1749	13.65	15.97	22.517	20.44	20.0091	15.97	20.44	15.97	19.3772	15.97	17.9608	20.44	15.97	23.3524	27.965	32.5458	33.2277	33.9	33.9	33.9	37.0173	34.1832	33.9	36.432	36.1531	36.3302	35.8975	34.3573	33.9	33.9	33.9	33.9	33.9	44.3741	47.8	48.6	52.9523	50.838	47.8	47.8	47.8	59.2	93.5	93.5	93.5	93.8522	93.5	112.03	113	125	130
110	-1477.33	-1473.114	-4.215817	0.8405954	0.019239	0.6704888	0.33967	0.33967	0.33967	0.33967	0.33967	0.33967	0.33967	0.33967	0.33967	0.3396696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0703029	0.0703029	0.0703029	0.0703029	0.0703029	0.0703029	0.0703029	0.0703029	0.0703029	0.07030291	54	145.5563	0.104163	0.422979	0.967598	2.50526	0.0162344	0.0351689	0.0560953	0.0819883	0.116186	0.164647	0.240646	0.383836	0.831511	0.1161856	1.23527	93.8144	93.5	97.2781	59.4019	47.8	42.9907	36.9824	36.9824	33.9	33.9	23.03	23.03	24.6752	26.0759	25.4718	26.7435	23.03	23.03	20.44	15.0552	17.3227	14.259	19.6854	19.1512	15.228	13.82	13.82	13.82	14.6367	16.702	15.97	13.82	15.97	13.82	13.82	16.1839	17.1586	13.82	15.97	15.8952	13.82	16.8487	19.8352	14.3939	17.9003	15.3069	15.6721	18.5969	15.2547	17.3748	18.2563	15.2547	17.9003	15.97	13.82	17.9751	13.82	13.82	14.1667	16.0043	13.82	15.97	13.82	13.82	15.0324	13.9995	13.65	13.65	13.8214	15.2831	13.82	10.394	15.2831	14.0158	12.3433	11.147	5.333	2.588	12.3433	11.608	11.608	7.49899	11.147	11.608	11.609	11.608	12.1737	11.608	11.608	14.7872	15.1749	13.65	15.97	21.8152	20.44	20.0091	15.97	22.1825	15.97	19.3772	15.97	17.9608	20.44	15.97	23.3524	27.965	32.5458	33.2277	33.9	33.9	34.4074	37.0173	34.1832	33.9	36.432	36.1531	36.3302	35.8975	34.3573	33.9	33.9	33.9	33.9	33.9	44.3741	47.8	48.6	52.9523	50.838	47.8	47.8	47.8	59.2	93.5	93.5	93.8144	93.8522	93.5	112.03	113	125	130
120	-1468.731	-1464.274	-4.457313	1.128326	0.0122014	0.6359028	0.340335	0.340335	0.340335	0.340335	0.340335	0.340335	0.340335	0.340335	0.340335	0.3403345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0712877	0.0712877	0.0712877	0.0712877	0.0712877	0.0712877	0.0712877	0.0712877	0.0712877	0.07128767	51	146.0968	0.161824	0.512195	1.01839	2.30759	0.0170505	0.0362347	0.0571292	0.0827164	0.116207	0.163259	0.236379	0.372686	0.792011	0.1162075	1.204604	97.8928	93.5	97.2781	59.4019	47.8	42.9907	36.9983	36.9983	33.9	33.9	23.03	23.03	24.6752	26.0759	27.5772	26.7435	23.03	23.03	20.44	15.0552	17.3227	14.259	19.6854	19.1512	15.228	16.7573	13.82	13.82	14.6367	16.702	15.97	13.82	15.97	13.82	13.82	16.1839	17.1586	13.82	15.97	15.8952	13.82	16.8487	19.8352	14.3939	18.1554	15.3069	15.6721	18.5969	15.54	17.3748	18.2563	15.54	18.1554	15.97	13.82	17.9751	13.9028	13.82	14.1667	16.0043	13.82	15.97	13.82	13.82	15.0324	13.9995	13.65	13.65	13.8214	15.2831	13.82	10.394	15.2831	14.0158	12.3433	11.147	5.333	2.588	12.3433	11.608	11.608	7.49899	11.147	11.608	11.609	11.608	12.1737	11.608	11.608	14.7872	15.0818	13.65	15.97	22.5682	20.44	20.0091	15.97	22.1825	15.97	19.3772	15.97	17.9608	20.44	15.97	24.7585	27.965	32.5458	33.2277	33.9	33.9	34.4074	37.0173	34.036	33.9	36.7788	36.1531	36.3302	35.8975	34.3573	33.9	33.9	33.9	33.9	33.9	44.3741	47.8	48.6	51.9939	49.0601	47.8	47.8	47.8	59.2	93.5	93.5	97.8928	98.1213	93.5	112.03	113	125	130
130	-1478.991	-1473.248	-5.743212	1.133609	0.01511389	0.6426819	0.433793	0.433793	0.433793	0.433793	0.433793	0.433793	0.433793	0.433793	0.433793	0.4337926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0463047	0.0463047	0.0463047	0.0463047	0.0463047	0.0463047	0.0463047	0.0463047	0.0463047	0.04630468	52	145.0323	0.162816	0.513531	1.01904	2.30462	0.0451124	0.0830992	0.12018	0.162212	0.213662	0.28143	0.379858	0.549359	1.01195	0.2136617	0.9761607	97.8928	93.5	97.2781	59.4019	47.8	42.9907	36.9983	36.9983	33.9	33.9	23.03	23.03	24.6752	26.0759	27.5772	26.7435	23.03	23.03	20.44	15.0552	17.3227	14.259	19.6854	19.1512	15.228	16.7573	13.82	13.82	14.6367	16.702	15.97	13.82	15.97	13.82	13.82	16.1839	17.1586	13.82	15.97	15.8952	13.82	16.1929	19.8352	14.3939	18.1939	15.3069	15.6721	18.5969	15.54	17.3748	17.7821	15.54	18.1939	15.97	13.82	16.3195	13.9028	13.82	14.1667	16.0043	13.82	15.97	13.82	13.82	15.0324	13.9995	13.65	15.5258	13.8214	15.2831	13.82	10.394	15.2831	14.0158	12.3433	11.147	5.333	2.588	12.3433	12.3713	11.608	7.49899	11.147	11.608	11.609	11.608	12.1737	11.608	11.608	14.7872	15.0818	13.65	15.97	22.5682	20.44	20.0091	15.97	22.1825	15.97	19.3772	15.97	17.9608	20.44	15.97	25.4804	27.965	32.5458	33.2277	33.9	36.8642	34.4074	37.0173	35.7075	33.9	36.7788	36.1531	36.3302	35.8975	34.3573	33.9	33.9	33.9	33.9	33.9	44.3741	47.8	48.6	51.9939	49.0601	47.8	47.8	47.8	59.2	93.5	93.5	97.8928	98.1213	93.5	112.03	113.042	125	130
140	-1462.594	-1457.386	-5.20798	0.7768056	0.009745719	0.671214	0.43141	0.43141	0.43141	0.43141	0.43141	0.43141	0.43141	0.43141	0.43141	0.4314104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0544363	0.0544363	0.0544363	0.0544363	0.0544363	0.0544363	0.0544363	0.0544363	0.0544363	0.05443626	50	145.2856	0.0906145	0.397625	0.950315	2.56145	0.0314798	0.0616383	0.0924915	0.128639	0.17417	0.235817	0.327979	0.49215	0.963645	0.1741703	1.073731	98.0762	93.5	97.2781	59.4019	47.8	42.9907	37.2798	37.2798	33.9	33.9	23.03	23.03	24.6752	26.0759	27.5772	26.7435	23.03	23.03	20.44	15.0552	17.3227	16.4775	19.6693	19.1512	14.7084	16.7573	13.82	13.82	14.6367	16.702	15.97	13.82	15.97	13.82	13.82	16.1839	17.1586	13.82	15.97	15.8952	13.82	16.1929	19.8352	14.3939	18.1939	15.3069	15.6721	18.5969	15.54	16.6949	14.1534	15.54	18.1939	15.97	13.82	16.3195	13.9028	13.82	14.1667	16.0043	13.82	15.97	13.82	13.82	15.0324	13.9995	13.65	15.5258	13.8214	15.3468	13.82	10.394	15.3468	14.0158	12.3433	11.147	5.333	2.588	12.3433	12.3713	11.608	7.49899	11.147	11.8661	11.609	11.608	12.1737	11.608	11.608	14.7872	15.0818	13.65	15.97	22.5682	20.44	20.0091	15.97	22.1825	15.97	19.3772	15.97	17.9608	20.44	15.97	25.4804	27.965	32.5458	33.2277	33.9	36.8642	34.4074	37.0173	35.7075	33.9	36.7788	36.1531	36.3302	35.8975	34.3573	33.9	33.9	33.9	33.9	33.9	44.3741	47.8	48.6	51.9939	49.0601	47.8	47.8	47.8	59.2	93.5	93.5	98.0762	98.1213	93.5	112.03	113.042	125	130
150	-1473.831	-1468.424	-5.406722	0.8939082	0.01299107	0.602439	0.436907	0.436907	0.436907	0.436907	0.436907	0.436907	0.436907	0.436907	0.436907	0.4369074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0561609	0.0561609	0.0561609	0.0561609	0.0561609	0.0561609	0.0561609	0.0561609	0.0561609	0.05616091	50	145.8207	0.11533	0.442365	0.979927	2.46238	0.0316579	0.061987	0.0930148	0.129367	0.175156	0.237152	0.329835	0.494935	0.969097	0.1751558	1.073731	98.0762	93.5	97.2781	59.4019	47.8	42.9907	37.2798	37.2798	33.9	33.9	23.03	23.03	24.6752	26.0759	27.5772	26.7435	23.03	23.03	20.44	15.0552	17.3227	16.4775	19.6693	19.1512	14.7084	16.7573	13.82	13.82	14.6367	16.702	15.97	13.82	15.97	15.3672	13.82	16.1839	17.1586	13.82	15.97	15.9139	13.82	16.1929	19.8352	14.3939	18.2827	15.3069	15.6721	18.5969	16.0505	16.6949	14.1534	16.0505	18.2827	15.97	13.82	16.3195	13.9028	13.82	14.1667	16.0043	13.82	15.97	14.5028	13.82	15.0324	13.9995	13.65	15.5258	13.8214	15.3468	13.82	10.394	15.3468	14.0158	12.3433	11.147	5.333	3.52473	12.3433	12.3713	11.608	7.49899	11.147	11.8661	11.609	11.608	12.1737	11.608	11.608	14.7872	15.0818	13.65	15.97	22.5682	20.44	20.0091	17.1628	22.1825	15.97	22.2198	15.97	17.9608	20.44	15.97	25.1957	27.965	32.5458	33.2277	33.9	36.8642	34.4074	37.0173	35.7075	33.9	36.7788	36.9592	36.3302	35.8975	34.3573	33.9	33.9	33.9	33.9	33.9	44.3741	47.8	48.6	51.9939	49.0601	47.8	47.8	49.1367	59.2	96.8117	93.5	98.0762	98.1213	93.5	112.03	113.042	125	130
160	-1469.114	-1463.771	-5.343556	0.7448085	0.01217222	0.6721209	0.446695	0.446695	0.446695	0.446695	0.446695	0.446695	0.446695	0.446695	0.446695	0.4466951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0482986	0.0482986	0.0482986	0.0482986	0.0482986	0.0482986	0.0482986	0.0482986	0.0482986	0.0482986	53	145.4117	0.0837737	0.383927	0.940405	2.59189	0.0633668	0.104732	0.141865	0.181555	0.227729	0.285645	0.365563	0.495175	0.818418	0.227729	0.8029132	98.1128	93.5	97.2781	59.4019	47.8	42.9907	37.3637	37.3637	33.9	33.9	23.03	23.03	24.6752	26.0759	27.5772	26.7435	23.03	23.03	22.609	15.0552	17.3227	17.5462	19.6693	19.1512	14.7084	16.7573	13.82	13.82	14.6367	16.9542	15.97	13.82	15.97	14.3637	13.82	16.1839	17.1586	13.82	15.97	15.8541	13.82	16.1929	19.8352	14.3939	18.2827	15.3069	15.6721	18.5969	16.0505	16.6949	14.1534	16.0505	18.2827	15.97	13.82	16.3195	13.9028	13.82	14.1667	16.0043	13.82	15.97	14.5028	13.82	15.0324	13.9995	13.65	15.5258	13.8214	15.3468	13.82	10.394	15.3468	14.0158	12.3433	11.147	5.333	3.52473	12.3433	12.3713	11.608	7.49899	11.147	11.8661	11.609	11.608	12.1737	11.608	11.608	14.7872	15.0818	13.65	15.97	22.5682	20.44	20.0091	17.1628	21.7489	15.97	22.2198	15.97	17.9608	20.44	15.97	25.1957	27.965	32.5458	32.3419	33.9	36.8642	34.4074	37.0173	35.7075	33.9	36.7788	36.9592	36.3302	35.8975	34.3573	33.9	33.9	33.9	33.9	33.9	44.3741	47.8	48.6	51.9939	49.0601	47.8	47.8	49.1367	59.2	96.8117	93.5	98.1128	98.1213	96.5171	112.03	113.042	125	130
170	-1467.902	-1462.012	-5.889687	1.187003	0.01092629	0.5499474	0.46058	0.46058	0.46058	0.46058	0.46058	0.46058	0.46058	0.46058	0.46058	0.4605801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0524558	0.0524558	0.0524558	0.0524558	0.0524558	0.0524558	0.0524558	0.0524558	0.0524558	0.05245582	53	145.9611	0.17269	0.526551	1.02519	2.27557	0.0451755	0.0808623	0.114936	0.152965	0.198892	0.258608	0.344173	0.489202	0.875651	0.1988919	0.9303221	98.1128	93.5	97.2781	59.4019	47.8	42.9907	37.3762	37.3762	33.9	33.9	23.03	23.03	24.6752	25.9838	27.5772	26.7435	23.03	23.03	22.609	15.0552	17.3227	17.5462	19.6693	19.1512	14.6196	16.7573	13.82	13.82	14.6367	17.8994	15.97	13.82	15.97	14.3637	13.82	16.3721	15.0665	13.82	15.97	15.8541	13.82	16.1929	19.8352	14.3939	18.2827	15.3069	15.6721	18.5969	16.5209	16.6949	14.1534	16.5209	18.2827	16.627	13.82	16.3195	13.9028	13.82	14.1667	16.0043	13.82	15.97	14.5028	13.82	15.8429	13.9995	13.65	15.5258	13.9796	15.3468	14.8481	10.394	15.3468	14.0158	12.3433	11.147	5.333	3.52473	12.3433	12.3713	11.608	7.49899	11.147	11.8661	11.609	11.608	12.1737	11.608	11.608	14.7872	15.0818	13.65	15.97	19.7468	20.44	20.0091	17.1628	21.7489	15.97	22.2198	15.97	17.9608	20.44	15.97	25.4973	27.965	32.5458	32.3419	33.9	36.8642	34.9128	37.0173	35.7075	33.9	36.7788	36.9592	36.3302	35.8975	34.3573	33.9	33.9	33.9	33.9	33.9	44.3741	47.8	51.9788	51.9939	49.7013	47.8	47.8	49.1367	59.2	96.8117	93.5	98.1128	98.1213	96.5171	112.03	113.042	125	135.804
180	-1478.657	-1471.288	-7.368755	1.694185	0.008273747	0.6701889	0.521543	0.521543	0.521543	0.521543	0.521543	0.521543	0.521543	0.521543	0.521543	0.5215429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0600995	0.0600995	0.0600995	0.0600995	0.0600995	0.0600995	0.0600995	0.0600995	0.0600995	0.06009945	53	145.4512	0.253822	0.617982	1.06005	2.06815	0.0495992	0.0897442	0.128395	0.171785	0.224453	0.293268	0.392375	0.561363	1.01572	0.2244528	0.9475721	98.1128	93.5	97.2781	59.4019	47.8	42.9907	37.3762	37.3762	33.9	33.9	23.03	23.03	24.6752	25.9838	27.5772	26.7435	23.03	23.03	22.609	15.0552	17.3227	17.5462	19.6693	19.1512	14.6196	16.7573	13.82	13.82	14.6367	17.0892	15.97	13.82	15.97	14.3637	13.82	16.3721	15.0665	13.82	15.97	16.012	13.82	16.1929	19.8352	14.3939	18.2827	15.3069	15.6721	18.5969	16.5514	16.6949	14.1534	16.5514	18.2827	16.627	13.82	16.3195	14.146	13.82	14.1667	16.0043	13.82	15.97	14.5028	13.82	15.8429	13.9995	13.65	15.5258	13.9796	15.3468	14.8481	10.394	15.3468	14.0954	12.3449	11.147	5.333	3.52473	12.3449	12.3713	11.608	7.49899	11.147	11.8661	11.609	11.608	12.1737	11.608	11.608	14.7872	15.0818	13.65	15.97	16.7617	20.44	20.0091	17.1628	21.7489	15.97	22.2198	15.97	17.9608	20.44	15.97	25.4973	27.965	32.5458	30.554	33.9	36.8642	36.2976	37.0173	35.7075	33.9	36.7788	36.9592	36.3302	35.8975	34.3573	33.9	33.9	35.8628	33.9	33.9	44.3741	47.8	51.9788	51.9939	49.7013	47.8	47.8	49.1367	59.2	97.0553	93.5	98.1128	98.1213	94.4517	112.03	113.272	125	135.804
190	-1480.999	-1474.922	-6.076833	2.155027	0.007252296	0.6438427	0.369068	0.369068	0.369068	0.369068	0.369068	0.369068	0.369068	0.369068	0.369068	0.369068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0563811	0.0563811	0.0563811	0.0563811	0.0563811	0.0563811	0.0563811	0.0563811	0.0563811	0.05638114	55	145.2265	0.311104	0.670547	1.07343	1.94492	0.0375505	0.071307	0.105039	0.143909	0.192173	0.256622	0.351588	0.517905	0.983482	0.1921725	1.024784	98.1128	93.5	97.4816	59.4019	47.8	42.9907	37.3762	37.3762	33.9	33.9	23.03	23.03	24.6752	25.9838	27.5772	27.1613	23.03	23.03	21.3249	15.0552	17.147	17.5462	19.6693	19.1512	14.6196	16.7573	13.82	13.82	14.6367	17.0892	16.1268	13.82	15.97	14.3637	13.82	16.3721	15.0665	13.82	15.97	16.2409	13.82	16.2838	19.8352	14.3939	18.2827	15.3069	15.6721	18.5969	16.5514	16.6949	14.1534	16.5514	18.2827	16.627	13.82	16.3195	14.146	13.82	14.1667	16.0043	13.82	15.97	14.5028	14.1261	15.8429	13.9995	13.65	15.5258	13.9796	15.3468	14.8481	10.394	15.3468	14.0142	12.3449	11.147	5.333	3.52473	12.3449	12.3713	11.608	7.49899	11.147	11.8661	11.609	11.608	12.1737	11.608	11.608	14.7872	15.0818	13.65	15.97	16.4762	20.44	20.0091	17.1628	21.7489	15.97	22.2198	15.97	17.9608	20.44	15.97	25.4973	27.9132	32.5458	30.7345	33.9	36.8642	35.8856	37.0173	35.7075	33.9	36.7788	36.9592	36.3302	35.8975	34.3573	33.9	33.9	34.2942	33.9	33.9	44.3741	47.8	51.9788	51.9939	49.7013	47.8	47.8	49.1367	59.2	97.0553	93.5	98.1128	98.1213	94.4517	112.03	113.272	125	135.804
