taxon	max	min
Reticulitermes_holmgreni	28.1	23.03
Reticulitermes_laurae	20.43	15.97
Reticulitermes_minimus	38	33.9
Reticulitermes_pliozaenicus	3.6	2.588
Rhinotermes_miocenicus	7.246	5.333
Rhinotermites_dzierzoni	15.97	13.65
Rhinotermites_kuehni	15.97	13.65
Rhinotermites_wasmanni	15.97	13.65
Zophotermes_ashoki	56	47.8
Chilgatermes_diamatensis	28.1	23.03
Stolotermes_amanoi	11.608	5.333
Stolotermes_kupe	23.03	20.44
Parastylotermes_calico	20.43	15.97
Parastylotermes_frazieri	23.03	15.97
Parastylotermes_krishnai	56	47.8
Parastylotermes_robustus	38	33.9
Parastylotermes_washingtonensis	15.97	13.82
Prostylotermes_kamboja	56	47.8
Anoplotermes_bohio	20.44	13.82
Anoplotermes_cacique	20.44	13.82
Anoplotermes_carib	20.44	13.82
Anoplotermes_maboya	20.44	13.82
Anoplotermes_naboria	20.44	13.82
Anoplotermes_nitaino	20.44	13.82
Anoplotermes_quisqueya	20.44	13.82
Anoplotermes_taino	20.44	13.82
Macrotermes_pristinus	12.7	11.608
Macrotermes_scheuthlei	15.97	5.333
Atlantitermes_antillea	20.44	13.82
Atlantitermes_caribea	20.44	13.82
Atlantitermes_magnoculus	20.44	13.82
Caribitermes_hispaniola	20.44	13.82
Constrictotermes_electroconstrictus	20.44	13.82
Nasutitermes_amplioculatus	20.44	13.82
Nasutitermes_crinitus	20.44	13.82
Nasutitermes_electrinus	23.03	15.97
Nasutitermes_electronasutus	20.44	13.82
Nasutitermes_incisus	20.44	13.82
Nasutitermes_magnocellus	20.44	13.82
Nasutitermes_medioculatus	20.44	13.82
Nasutitermes_rotundicephalus	20.44	13.82
Nasutitermes_seminudus	20.44	13.82
Parvitermes_longinasus	20.44	13.82
Subulitermes_hispaniola	20.44	13.82
Subulitermes_insularis	20.44	13.82
Velocitermes_bulbus	20.44	13.82
Amitermes_lucidus	20.44	13.82
Gnathamitermes_rousei	20.43	15.97
Microcerotermes_insulanus	20.44	13.82
Microcerotermes_setosus	20.44	13.82
Termes_primitivus	20.44	13.82
Termes_siruguei	28.1	23.03
Metatermites_statzi	15.97	13.65
Nanotermes_isaacae	56	47.8
Termopsis_bremii	38	33.9
Termopsis_gracilipennis	33.9	28.4
Termopsis_mallaszi	12.7	11.608
Termopsis_transsylvanica	12.7	11.608
Termopsis_ukapirmasi	38	33.9
